frame,method,dx,dy,angle,ecc_score
0,mask,0.0,0.0,0.0,1.0
1,pcc,-0.0015982327011237756,-0.0011839898111663351,0.0,0.6449309311095294
2,pcc,-0.005102375553239563,-0.003333085614269779,0.0,0.39852387931730604
3,pcc,-0.010674264730599002,-0.004205006434349909,0.0,0.2561253609394684
4,pcc,-0.00986827077211177,-0.004391000896405356,0.0,0.18089039499046508
5,pcc,-0.005142552431219133,-0.0009919119728347583,0.0,0.14369609750811202
6,pcc,0.004713635449455572,-0.015270047197818026,0.0,0.12400432613023563
7,pcc,0.005756827861701182,-0.011486311257236068,0.0,0.11365207857278196
8,pcc,0.012680840689213095,-0.007297716142094898,0.0,0.10748209070427835
9,pcc,-0.0015571264553018822,-0.0022016656640504173,0.0,0.10084519111896222
10,pcc,-0.007730793581889425,-0.019566174941490693,0.0,0.09931919344326834
11,pcc,-0.015650075209836332,-0.02393667569074899,0.0,0.10024558090118835
12,pcc,-0.011407903163282032,-0.04379896298815427,0.0,0.10007653823042556
13,pcc,-0.0011954523298388436,-0.03380257348334772,0.0,0.10344332541288288
14,pcc,0.0030686336103596563,-0.024343713597577907,0.0,0.10267698878324563
15,pcc,0.0025512065489780448,-0.030702601463332903,0.0,0.10204769390763757
