frame,method,dx,dy,rotation,scale,ecc_score
0,mask,0.0,0.0,0.0,1.0,1.0
1,method8_multiscale_selective,-0.18997539579868317,0.102166086435318,-0.005501718260347843,1.0,0.9998114461213183
2,method8_multiscale_selective,-0.5005760788917542,0.2688922882080078,-0.020202025771141052,1.0,0.999323823047126
3,method8_multiscale_selective,-0.519167959690094,0.317425400018692,-0.02357536554336548,1.0,0.9993317619443499
4,method8_multiscale_selective,-0.1161779835820198,0.16941779851913452,-0.019959310069680214,1.0,0.9996321838262626
5,method8_multiscale_selective,0.7691871523857117,-0.24519652128219604,0.009897315874695778,1.0,0.9996757254064019
6,method8_multiscale_selective,1.3283790349960327,-0.5754650235176086,0.025608627125620842,0.9999999403953552,0.9993473553409107
7,method8_multiscale_selective,1.3634088039398193,-0.5111064314842224,0.03029721975326538,1.0,0.9993620386672053
8,method8_multiscale_selective,0.8899104595184326,-0.38570839166641235,0.014770543202757835,0.9999999403953552,0.9992288065378935
9,method8_multiscale_selective,0.27884867787361145,-0.08016297221183777,-0.005177529528737068,1.0,0.9992226042955412
10,method8_multiscale_selective,-0.3201611638069153,0.10656619817018509,-0.026026921346783638,0.9999999403953552,0.9990988933290252
11,method8_multiscale_selective,-0.5570732355117798,0.18962429463863373,-0.028234003111720085,1.0,0.9989565279782567
12,method8_multiscale_selective,-0.6249527335166931,0.15317493677139282,-0.0337139330804348,1.0,0.9989384035949331
13,method8_multiscale_selective,-0.7078262567520142,0.24493277072906494,-0.03481230139732361,1.0,0.9990604276016112
14,method8_multiscale_selective,-0.6794993281364441,0.1696195900440216,-0.0398474745452404,1.0,0.9990673391449181
15,method8_multiscale_selective,-0.4612085521221161,0.026508890092372894,-0.029395081102848053,1.0,0.9990115426705192
16,method8_multiscale_selective,-0.015383015386760235,-0.348002165555954,-0.016094211488962173,0.9999999403953552,0.99903211472959
17,method8_multiscale_selective,0.326303631067276,-0.4702644944190979,-0.00038263582973740995,1.0,0.9984790955075227
18,method8_multiscale_selective,0.0627649575471878,-0.4031469523906708,-0.011113638058304787,1.0,0.9988940514040722
19,method8_multiscale_selective,-0.37916430830955505,-0.16843818128108978,-0.02579399012029171,0.9999999403953552,0.9988183760951338
20,method8_multiscale_selective,-1.0374857187271118,-0.10489338636398315,-0.042285382747650146,0.9999999403953552,0.9989291605442893
21,method8_multiscale_selective,-3.589660167694092,1.1165223121643066,-0.14783863723278046,1.0,0.998561181208782
22,method8_multiscale_selective,-3.975209951400757,1.227630853652954,-0.1520736962556839,1.0,0.9986677549678005
